indice,sma20
0,1797.828319
1,1794.716864
2,1789.493691
3,1782.674499
4,1774.113312
5,1764.516526
6,1755.005679
7,1745.354226
8,1735.196037
9,1727.010276
10,1721.152902
11,1714.388363
12,1709.008762
13,1703.587852
14,1696.344547
15,1688.461520
16,1680.878115
17,1674.411752
18,1668.245551
19,1663.215450
20,1660.152091
21,1657.595556
22,1658.339159
23,1660.407256
24,1664.866864
25,1668.749955
26,1673.640691
27,1679.299741
28,1685.682311
29,1691.777994
30,1696.712017
31,1702.512413
32,1707.569204
33,1711.400343
34,1716.895772
35,1723.114650
36,1729.527927
37,1734.121715
38,1739.789327
39,1744.281683
40,1746.560843
41,1750.610568
42,1753.489360
43,1754.949872
44,1755.587980
45,1755.966789
46,1756.183192
47,1755.765258
48,1754.113633
49,1750.842205
50,1746.296747
51,1740.033948
52,1733.166422
53,1726.735416
54,1720.368138
55,1714.823690
56,1708.851568
57,1705.974004
58,1700.472049
59,1695.948575
60,1692.961792
61,1688.916674
62,1683.258656
63,1679.142040
64,1674.531863
65,1670.661113
66,1667.178312
67,1665.102630
68,1662.351450
69,1660.011572
70,1657.618351
71,1656.341511
72,1655.584596
73,1654.602508
74,1651.528977
75,1647.274693
76,1643.537181
77,1638.273617
78,1632.734703
79,1626.802941
80,1619.941181
81,1612.357333
82,1604.764092
83,1595.255575
84,1585.192984
85,1575.937915
86,1567.090615
87,1558.360925
88,1551.688362
89,1545.060222
90,1538.260175
91,1531.022171
92,1524.799029
93,1518.270478
94,1511.944734
95,1506.237436
96,1500.493972
97,1493.393488
98,1487.687139
99,1481.759409
100,1475.310343
101,1469.476178
102,1464.647893
103,1459.290602
104,1454.540041
105,1449.644367
106,1443.242457
107,1436.320710
108,1428.076744
109,1420.321582
110,1413.186356
111,1406.626698
112,1399.080674
113,1393.182107
114,1388.584590
115,1384.693018
116,1380.497895
117,1377.053826
118,1374.184047
119,1372.140045
120,1370.424979
121,1369.138022
122,1368.278838
123,1368.896119
124,1369.400133
125,1369.076233
126,1370.253303
127,1370.260402
128,1372.467134
129,1374.492374
130,1376.343259
131,1376.765865
132,1378.547871
133,1378.988850
134,1380.088892
135,1380.656023
136,1379.809312
137,1379.916196
138,1379.407715
139,1378.501544
140,1378.053981
141,1377.026209
142,1376.359335
143,1375.719542
144,1374.372856
145,1372.923368
146,1370.156741
147,1368.857115
148,1366.767418
149,1363.676866
150,1362.139186
151,1361.497125
152,1361.415490
153,1362.376008
154,1362.269534
155,1362.413397
156,1363.251604
157,1363.831164
158,1364.000646
159,1364.484188
160,1363.664533
161,1362.763262
162,1361.048753
163,1359.850112
164,1360.493571
165,1361.454403
166,1364.151538
167,1366.300650
168,1368.250194
169,1372.267486
170,1375.798561
171,1379.520696
172,1382.907417
173,1386.177079
174,1389.772109
175,1392.191069
176,1395.006199
177,1397.339128
178,1398.982321
179,1401.020883
180,1404.069638
181,1406.785425
182,1409.558564
183,1412.037584
184,1414.228052
185,1416.155832
186,1418.997092
187,1421.054471
188,1423.417072
189,1423.439546
190,1422.854296
191,1423.080210
192,1421.955456
193,1419.182847
194,1416.134768
195,1413.416189
196,1409.679434
197,1406.322210
198,1404.012907
199,1401.422206
200,1399.162352
201,1397.042562
202,1395.314911
203,1393.873733
204,1392.465483
205,1390.440144
206,1387.403137
207,1385.798609
208,1384.039387
209,1383.830857
210,1384.611231
211,1386.496115
212,1389.614477
213,1393.951525
214,1396.623753
215,1400.026972
216,1404.272194
217,1408.639877
218,1413.222725
219,1418.408083
220,1422.927290
